Month,Retailer,StoreType,Category,Units
2018 Apr,EASTERN MOUNTAIN SPORTS,ECOMMERCE,JACKET/VEST,48
2018 Apr,EASTERN MOUNTAIN SPORTS,ECOMMERCE,PANT/CAPRI,183
2018 Apr,EASTERN MOUNTAIN SPORTS,ECOMMERCE,SLEEPING BAG,4
2018 Apr,EASTERN MOUNTAIN SPORTS,ECOMMERCE,TENT,14
2018 Apr,FIELDANDSTREAM,B&M,PANT/CAPRI,0
2018 Apr,FIELDANDSTREAM,B&M,SLEEPING BAG,100
2018 Apr,FIELDANDSTREAM,B&M,TENT,18
2018 Apr,FIELDANDSTREAM,ECOMMERCE,SLEEPING BAG,30
2018 Apr,FIELDANDSTREAM,ECOMMERCE,TENT,4
2018 Apr,FINISH LINE,B&M,DAYPACK,34
2018 Apr,FINISH LINE,B&M,JACKET/VEST,0
2018 Apr,FINISH LINE,B&M,PANT/CAPRI,0
2018 Apr,FINISH LINE,ECOMMERCE,DAYPACK,0
2018 Apr,"FOOT LOCKER, INC.",OTHER,PANT/CAPRI,48
2018 Apr,HIBBETT SPORTS,B&M,DAYPACK,272
2018 Apr,HIBBETT SPORTS,B&M,JACKET/VEST,1557
2018 Apr,HIBBETT SPORTS,B&M,PANT/CAPRI,378
2018 Apr,HIBBETT SPORTS,ECOMMERCE,DAYPACK,246
2018 Apr,HIBBETT SPORTS,ECOMMERCE,JACKET/VEST,3
2018 Apr,HIBBETT SPORTS,ECOMMERCE,PANT/CAPRI,33
2018 Apr,MACYS,B&M,DAYPACK,488
2018 Apr,MACYS,B&M,JACKET/VEST,1233
2018 Apr,MACYS,B&M,PANT/CAPRI,8904
2018 Apr,MACYS,ECOMMERCE,DAYPACK,1362
2018 Apr,MACYS,ECOMMERCE,JACKET/VEST,1689
2018 Apr,MACYS,ECOMMERCE,PANT/CAPRI,3948
2018 Apr,MARINECORPSEXCHANGE,B&M,DAYPACK,224
2018 Apr,MARINECORPSEXCHANGE,B&M,JACKET/VEST,3
2018 Apr,MARINECORPSEXCHANGE,B&M,PANT/CAPRI,591
2018 Apr,MODELLS,B&M,DAYPACK,1300
2018 Apr,MODELLS,B&M,JACKET/VEST,0
2018 Apr,MODELLS,B&M,PANT/CAPRI,0
2018 Apr,MODELLS,ECOMMERCE,DAYPACK,8
2018 Apr,MOOSEJAW,B&M,DAYPACK,90
2018 Apr,MOOSEJAW,B&M,JACKET/VEST,36
2018 Apr,MOOSEJAW,B&M,PANT/CAPRI,108
2018 Apr,MOOSEJAW,B&M,SLEEPING BAG,14
2018 Apr,MOOSEJAW,B&M,TENT,8
2018 Apr,MOOSEJAW,ECOMMERCE,DAYPACK,1312
2018 Apr,MOOSEJAW,ECOMMERCE,JACKET/VEST,525
2018 Apr,MOOSEJAW,ECOMMERCE,PANT/CAPRI,690
2018 Apr,MOOSEJAW,ECOMMERCE,SLEEPING BAG,304
2018 Apr,MOOSEJAW,ECOMMERCE,TENT,152
2018 Apr,NEIMAN MARCUS,B&M,JACKET/VEST,84
2018 Apr,NEIMAN MARCUS,B&M,PANT/CAPRI,51
2018 Apr,NEIMAN MARCUS,ECOMMERCE,JACKET/VEST,117
2018 Apr,NEIMAN MARCUS,ECOMMERCE,PANT/CAPRI,159
2018 Apr,NEIMAN MARCUS,OTHER,JACKET/VEST,0
2018 Apr,NEIMAN MARCUS,OTHER,PANT/CAPRI,0
2018 Apr,NEXCOM,B&M,DAYPACK,1152
2018 Apr,NEXCOM,B&M,JACKET/VEST,72
2018 Apr,NEXCOM,B&M,PANT/CAPRI,1923
2018 Apr,NEXCOM,B&M,SLEEPING BAG,92
2018 Apr,NEXCOM,B&M,TENT,34
2018 Apr,NEXCOM,ECOMMERCE,DAYPACK,6
2018 Apr,NEXCOM,ECOMMERCE,JACKET/VEST,9
2018 Apr,NEXCOM,ECOMMERCE,PANT/CAPRI,183
2018 Apr,NEXCOM,ECOMMERCE,SLEEPING BAG,10
2018 Apr,NEXCOM,ECOMMERCE,TENT,0
2018 Apr,NORDSTROMPORTAL,B&M,DAYPACK,38
2018 Apr,NORDSTROMPORTAL,B&M,JACKET/VEST,-30
2018 Apr,NORDSTROMPORTAL,B&M,PANT/CAPRI,171
2018 Apr,NORDSTROMPORTAL,B&M,SLEEPING BAG,0
2018 Apr,NORDSTROMPORTAL,B&M,TENT,0
2018 Apr,NORDSTROMPORTAL,ECOMMERCE,DAYPACK,74
2018 Apr,NORDSTROMPORTAL,ECOMMERCE,JACKET/VEST,-129
2018 Apr,NORDSTROMPORTAL,ECOMMERCE,PANT/CAPRI,330
2018 Apr,NORDSTROMPORTAL,ECOMMERCE,SLEEPING BAG,-2
2018 Apr,NORDSTROMPORTAL,OUTLET,DAYPACK,10
2018 Apr,NORDSTROMPORTAL,OUTLET,JACKET/VEST,342
2018 Apr,NORDSTROMPORTAL,OUTLET,PANT/CAPRI,84
2018 Apr,NORDSTROMPORTAL,OUTLET,SLEEPING BAG,0
2018 Apr,OLYMPIA SPORTS,B&M,DAYPACK,66
2018 Apr,OLYMPIA SPORTS,B&M,PANT/CAPRI,51
2018 Apr,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,DAYPACK,6
2018 Apr,REI,B&M,DAYPACK,6268
2018 Apr,REI,B&M,JACKET/VEST,711
2018 Apr,REI,B&M,PANT/CAPRI,19527
2018 Apr,REI,B&M,SLEEPING BAG,3272
2018 Apr,REI,B&M,TENT,440
2018 Apr,REI,ECOMMERCE,DAYPACK,1174
2018 Apr,REI,ECOMMERCE,JACKET/VEST,708
2018 Apr,REI,ECOMMERCE,PANT/CAPRI,5763
2018 Apr,REI,ECOMMERCE,SLEEPING BAG,1478
2018 Apr,REI,ECOMMERCE,TENT,580
2018 Apr,ROCK CREEK,AMAZON,DAYPACK,2
2018 Apr,ROCK CREEK,AMAZON,PANT/CAPRI,0
2018 Apr,ROCK CREEK,B&M,DAYPACK,64
2018 Apr,ROCK CREEK,B&M,JACKET/VEST,3
2018 Apr,ROCK CREEK,B&M,PANT/CAPRI,153
2018 Apr,ROCK CREEK,B&M,SLEEPING BAG,12
2018 Apr,ROCK CREEK,B&M,TENT,0
2018 Apr,ROCK CREEK,OTHER,DAYPACK,166
2018 Apr,ROCK CREEK,OTHER,PANT/CAPRI,0
2018 Apr,ROCK CREEK,OTHER,SLEEPING BAG,0
2018 Apr,ROCK CREEK,OTHER,TENT,0
2018 Apr,RUNNINGSPECIALTYGROUP,B&M,JACKET/VEST,57
2018 Apr,RUNNINGSPECIALTYGROUP,B&M,PANT/CAPRI,12
2018 Apr,RUNNINGSPECIALTYGROUP,ECOMMERCE,JACKET/VEST,3
2018 Apr,RUNNINGSPECIALTYGROUP,ECOMMERCE,PANT/CAPRI,3
2018 Apr,RUNNINGSPECIALTYGROUP,OTHER,JACKET/VEST,0
2018 Apr,RUNNINGSPECIALTYGROUP,OTHER,PANT/CAPRI,0
2018 Apr,SCHEELSSPORTS,B&M,DAYPACK,782
2018 Apr,SCHEELSSPORTS,B&M,JACKET/VEST,291
2018 Apr,SCHEELSSPORTS,B&M,PANT/CAPRI,11085
2018 Apr,SCHEELSSPORTS,B&M,SLEEPING BAG,112
2018 Apr,SCHEELSSPORTS,B&M,TENT,148
2018 Apr,VAILRESORTSRETAIL,B&M,DAYPACK,88
2018 Apr,VAILRESORTSRETAIL,B&M,JACKET/VEST,108
2018 Apr,VAILRESORTSRETAIL,B&M,PANT/CAPRI,519
2018 Apr,VAILRESORTSRETAIL,B&M,SLEEPING BAG,10
2018 Apr,VAILRESORTSRETAIL,B&M,TENT,10
2018 Apr,VAILRESORTSRETAIL,OUTLET,DAYPACK,0
2018 Apr,VAILRESORTSRETAIL,OUTLET,JACKET/VEST,0
2018 Apr,VAILRESORTSRETAIL,OUTLET,PANT/CAPRI,3
2018 Apr,VON MAUR,B&M,DAYPACK,0
2018 Apr,VON MAUR,B&M,JACKET/VEST,228
2018 Apr,VON MAUR,B&M,PANT/CAPRI,753
2018 Apr,VON MAUR,ECOMMERCE,DAYPACK,0
2018 Apr,VON MAUR,ECOMMERCE,JACKET/VEST,15
2018 Apr,VON MAUR,ECOMMERCE,PANT/CAPRI,39
2018 Apr,ZAPPOS.COM,AMAZON,DAYPACK,1904
2018 Apr,ZAPPOS.COM,AMAZON,PANT/CAPRI,528
2018 Apr,ZAPPOS.COM,ECOMMERCE,DAYPACK,1270
2018 Apr,ZAPPOS.COM,ECOMMERCE,JACKET/VEST,744
2018 Apr,ZAPPOS.COM,ECOMMERCE,PANT/CAPRI,4044
2018 Apr,ZAPPOS.COM,ECOMMERCE,SLEEPING BAG,8
2018 Apr,ZAPPOS.COM,ECOMMERCE,TENT,0
2018 May,AAFES,B&M,DAYPACK,0
2018 May,AAFES,B&M,JACKET/VEST,18
2018 May,AAFES,B&M,PANT/CAPRI,3816
2018 May,AAFES,ECOMMERCE,SLEEPING BAG,0
2018 May,AAFES,OTHER,PANT/CAPRI,-30
2018 May,ACADEMY SPORTS,B&M,DAYPACK,1840
2018 May,ACADEMY SPORTS,B&M,JACKET/VEST,0
2018 May,ACADEMY SPORTS,B&M,PANT/CAPRI,7266
2018 May,ACADEMY SPORTS,B&M,SLEEPING BAG,216
2018 May,ACADEMY SPORTS,B&M,TENT,22
2018 May,ACADEMY SPORTS,ECOMMERCE,DAYPACK,176
2018 May,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,627
2018 May,ACADEMY SPORTS,ECOMMERCE,SLEEPING BAG,22
2018 May,ACADEMY SPORTS,ECOMMERCE,TENT,6
2018 May,BACKCOUNTRY,AMAZON,DAYPACK,1150
2018 May,BACKCOUNTRY,AMAZON,PANT/CAPRI,891
2018 May,BACKCOUNTRY,ECOMMERCE,DAYPACK,1990
2018 May,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,258
2018 May,BACKCOUNTRY,ECOMMERCE,PANT/CAPRI,3390
2018 May,BACKCOUNTRY,ECOMMERCE,SLEEPING BAG,1382
2018 May,BACKCOUNTRY,ECOMMERCE,TENT,740
2018 May,BACKCOUNTRY,OUTLET,DAYPACK,344
2018 May,BACKCOUNTRY,OUTLET,JACKET/VEST,36
2018 May,BACKCOUNTRY,OUTLET,PANT/CAPRI,324
2018 May,BACKCOUNTRY,OUTLET,SLEEPING BAG,154
2018 May,BACKCOUNTRY,OUTLET,TENT,58
2018 May,BLOOMINGDALES,B&M,JACKET/VEST,-3
2018 May,BLOOMINGDALES,B&M,PANT/CAPRI,3
2018 May,BLOOMINGDALES,ECOMMERCE,JACKET/VEST,9
2018 May,BLOOMINGDALES,ECOMMERCE,PANT/CAPRI,0
2018 May,BOBS STORES,B&M,DAYPACK,0
2018 May,BOBS STORES,B&M,JACKET/VEST,0
2018 May,BOBS STORES,B&M,PANT/CAPRI,0
2018 May,BOBS STORES,B&M,SLEEPING BAG,0
2018 May,BOBS STORES,B&M,TENT,0
2018 May,BOBS STORES,ECOMMERCE,DAYPACK,0
2018 May,BOBS STORES,ECOMMERCE,JACKET/VEST,0
2018 May,BOBS STORES,ECOMMERCE,PANT/CAPRI,0
2018 May,BOBS STORES,ECOMMERCE,SLEEPING BAG,0
2018 May,BOBS STORES,ECOMMERCE,TENT,0
2018 May,ChampaignSurplus,OTHER,DAYPACK,222
2018 May,ChampaignSurplus,OTHER,PANT/CAPRI,540
2018 May,ChampaignSurplus,OTHER,SLEEPING BAG,2
2018 May,DICKS SPORTING GOODS,B&M,DAYPACK,1228
2018 May,DICKS SPORTING GOODS,B&M,JACKET/VEST,1527
2018 May,DICKS SPORTING GOODS,B&M,PANT/CAPRI,13056
2018 May,DICKS SPORTING GOODS,B&M,SLEEPING BAG,3446
2018 May,DICKS SPORTING GOODS,B&M,TENT,920
2018 May,DICKS SPORTING GOODS,ECOMMERCE,DAYPACK,326
2018 May,DICKS SPORTING GOODS,ECOMMERCE,JACKET/VEST,258
2018 May,DICKS SPORTING GOODS,ECOMMERCE,PANT/CAPRI,726
2018 May,DICKS SPORTING GOODS,ECOMMERCE,SLEEPING BAG,228
2018 May,DICKS SPORTING GOODS,ECOMMERCE,TENT,68
2018 May,DICKS SPORTING GOODS,OUTLET,DAYPACK,0
2018 May,DICKS SPORTING GOODS,OUTLET,JACKET/VEST,3
2018 May,DICKS SPORTING GOODS,OUTLET,PANT/CAPRI,24
2018 May,DILLARDS,B&M,DAYPACK,364
2018 May,DILLARDS,B&M,JACKET/VEST,354
2018 May,DILLARDS,B&M,PANT/CAPRI,6105
2018 May,DILLARDS,B&M,SLEEPING BAG,0
2018 May,DILLARDS,B&M,TENT,4
2018 May,DILLARDS,ECOMMERCE,DAYPACK,2
2018 May,DILLARDS,ECOMMERCE,JACKET/VEST,12
2018 May,DILLARDS,ECOMMERCE,PANT/CAPRI,135
2018 May,DILLARDS,ECOMMERCE,SLEEPING BAG,4
2018 May,DILLARDS,ECOMMERCE,TENT,2
2018 May,DILLARDS,OUTLET,JACKET/VEST,3
2018 May,DILLARDS,OUTLET,PANT/CAPRI,213
2018 May,EASTERN MOUNTAIN SPORTS,B&M,DAYPACK,322
2018 May,EASTERN MOUNTAIN SPORTS,B&M,JACKET/VEST,99
2018 May,EASTERN MOUNTAIN SPORTS,B&M,PANT/CAPRI,1770
2018 May,EASTERN MOUNTAIN SPORTS,B&M,SLEEPING BAG,8
2018 May,EASTERN MOUNTAIN SPORTS,B&M,TENT,40
2018 May,EASTERN MOUNTAIN SPORTS,ECOMMERCE,DAYPACK,56
2018 May,EASTERN MOUNTAIN SPORTS,ECOMMERCE,JACKET/VEST,18
2018 May,EASTERN MOUNTAIN SPORTS,ECOMMERCE,PANT/CAPRI,174
2018 May,EASTERN MOUNTAIN SPORTS,ECOMMERCE,SLEEPING BAG,8
2018 May,EASTERN MOUNTAIN SPORTS,ECOMMERCE,TENT,40
2018 May,FIELDANDSTREAM,B&M,JACKET/VEST,0
2018 May,FIELDANDSTREAM,B&M,PANT/CAPRI,0
2018 May,FIELDANDSTREAM,B&M,SLEEPING BAG,130
2018 May,FIELDANDSTREAM,B&M,TENT,58
2018 May,FIELDANDSTREAM,ECOMMERCE,SLEEPING BAG,32
2018 May,FIELDANDSTREAM,ECOMMERCE,TENT,18
2018 May,FINISH LINE,B&M,DAYPACK,38
2018 May,FINISH LINE,B&M,JACKET/VEST,0
2018 May,FINISH LINE,B&M,PANT/CAPRI,3
2018 May,"FOOT LOCKER, INC.",OTHER,PANT/CAPRI,57
2018 May,HIBBETT SPORTS,B&M,DAYPACK,280
2018 May,HIBBETT SPORTS,B&M,JACKET/VEST,906
2018 May,HIBBETT SPORTS,B&M,PANT/CAPRI,453
2018 May,HIBBETT SPORTS,ECOMMERCE,DAYPACK,94
2018 May,HIBBETT SPORTS,ECOMMERCE,JACKET/VEST,9
2018 May,HIBBETT SPORTS,ECOMMERCE,PANT/CAPRI,30
2018 May,MACYS,B&M,DAYPACK,486
2018 May,MACYS,B&M,JACKET/VEST,723
2018 May,MACYS,B&M,PANT/CAPRI,11826
2018 May,MACYS,ECOMMERCE,DAYPACK,620
2018 May,MACYS,ECOMMERCE,JACKET/VEST,102
2018 May,MACYS,ECOMMERCE,PANT/CAPRI,7149
2018 May,MARINECORPSEXCHANGE,B&M,DAYPACK,328
2018 May,MARINECORPSEXCHANGE,B&M,JACKET/VEST,0
2018 May,MARINECORPSEXCHANGE,B&M,PANT/CAPRI,420
2018 May,MODELLS,B&M,DAYPACK,1074
2018 May,MODELLS,B&M,JACKET/VEST,27
2018 May,MODELLS,B&M,PANT/CAPRI,3
2018 May,MODELLS,ECOMMERCE,DAYPACK,16
2018 May,MOOSEJAW,B&M,DAYPACK,106
2018 May,MOOSEJAW,B&M,JACKET/VEST,0
2018 May,MOOSEJAW,B&M,PANT/CAPRI,171
2018 May,MOOSEJAW,B&M,SLEEPING BAG,12
2018 May,MOOSEJAW,B&M,TENT,6
2018 May,MOOSEJAW,ECOMMERCE,DAYPACK,1072
2018 May,MOOSEJAW,ECOMMERCE,JACKET/VEST,168
2018 May,MOOSEJAW,ECOMMERCE,PANT/CAPRI,1596
2018 May,MOOSEJAW,ECOMMERCE,SLEEPING BAG,208
2018 May,MOOSEJAW,ECOMMERCE,TENT,110
2018 May,NEIMAN MARCUS,B&M,JACKET/VEST,21
2018 May,NEIMAN MARCUS,B&M,PANT/CAPRI,33
2018 May,NEIMAN MARCUS,ECOMMERCE,JACKET/VEST,90
2018 May,NEIMAN MARCUS,ECOMMERCE,PANT/CAPRI,51
2018 May,NEIMAN MARCUS,OTHER,JACKET/VEST,0
2018 May,NEIMAN MARCUS,OTHER,PANT/CAPRI,0
2018 May,NEXCOM,B&M,DAYPACK,946
2018 May,NEXCOM,B&M,JACKET/VEST,15
2018 May,NEXCOM,B&M,PANT/CAPRI,1866
2018 May,NEXCOM,B&M,SLEEPING BAG,56
2018 May,NEXCOM,B&M,TENT,28
2018 May,NEXCOM,ECOMMERCE,DAYPACK,6
2018 May,NEXCOM,ECOMMERCE,JACKET/VEST,6
2018 May,NEXCOM,ECOMMERCE,PANT/CAPRI,108
2018 May,NEXCOM,ECOMMERCE,SLEEPING BAG,2
2018 May,NEXCOM,ECOMMERCE,TENT,2
2018 May,NORDSTROMPORTAL,B&M,DAYPACK,24
2018 May,NORDSTROMPORTAL,B&M,JACKET/VEST,-42
2018 May,NORDSTROMPORTAL,B&M,PANT/CAPRI,6
2018 May,NORDSTROMPORTAL,B&M,SLEEPING BAG,-2
2018 May,NORDSTROMPORTAL,ECOMMERCE,DAYPACK,306
2018 May,NORDSTROMPORTAL,ECOMMERCE,JACKET/VEST,-93
2018 May,NORDSTROMPORTAL,ECOMMERCE,PANT/CAPRI,138
2018 May,NORDSTROMPORTAL,ECOMMERCE,SLEEPING BAG,2
2018 May,NORDSTROMPORTAL,OUTLET,DAYPACK,6
2018 May,NORDSTROMPORTAL,OUTLET,JACKET/VEST,327
2018 May,NORDSTROMPORTAL,OUTLET,PANT/CAPRI,345
2018 May,NORDSTROMPORTAL,OUTLET,SLEEPING BAG,0
2018 May,OLYMPIA SPORTS,B&M,DAYPACK,48
2018 May,OLYMPIA SPORTS,B&M,PANT/CAPRI,129
2018 May,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,DAYPACK,4
2018 May,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,PANT/CAPRI,9
2018 May,REI,B&M,DAYPACK,9624
2018 May,REI,B&M,JACKET/VEST,249
2018 May,REI,B&M,PANT/CAPRI,55569
2018 May,REI,B&M,SLEEPING BAG,6932
2018 May,REI,B&M,TENT,530
2018 May,REI,ECOMMERCE,DAYPACK,1824
2018 May,REI,ECOMMERCE,JACKET/VEST,543
2018 May,REI,ECOMMERCE,PANT/CAPRI,18483
2018 May,REI,ECOMMERCE,SLEEPING BAG,3624
2018 May,REI,ECOMMERCE,TENT,734
2018 May,ROCK CREEK,AMAZON,DAYPACK,0
2018 May,ROCK CREEK,AMAZON,PANT/CAPRI,0
2018 May,ROCK CREEK,B&M,DAYPACK,20
2018 May,ROCK CREEK,B&M,JACKET/VEST,3
2018 May,ROCK CREEK,B&M,PANT/CAPRI,69
2018 May,ROCK CREEK,B&M,SLEEPING BAG,0
2018 May,ROCK CREEK,B&M,TENT,2
2018 May,ROCK CREEK,OTHER,DAYPACK,0
2018 May,ROCK CREEK,OTHER,PANT/CAPRI,0
2018 May,ROCK CREEK,OTHER,SLEEPING BAG,0
2018 May,ROCK CREEK,OTHER,TENT,0
2018 May,RUNNINGSPECIALTYGROUP,B&M,JACKET/VEST,60
2018 May,RUNNINGSPECIALTYGROUP,B&M,PANT/CAPRI,0
2018 May,RUNNINGSPECIALTYGROUP,OTHER,JACKET/VEST,0
2018 May,RUNNINGSPECIALTYGROUP,OTHER,PANT/CAPRI,0
2018 May,SCHEELSSPORTS,B&M,DAYPACK,1222
2018 May,SCHEELSSPORTS,B&M,JACKET/VEST,393
2018 May,SCHEELSSPORTS,B&M,PANT/CAPRI,15273
2018 May,SCHEELSSPORTS,B&M,SLEEPING BAG,334
2018 May,SCHEELSSPORTS,B&M,TENT,278
2018 May,VAILRESORTSRETAIL,B&M,DAYPACK,154
2018 May,VAILRESORTSRETAIL,B&M,JACKET/VEST,78
2018 May,VAILRESORTSRETAIL,B&M,PANT/CAPRI,612
2018 May,VAILRESORTSRETAIL,B&M,SLEEPING BAG,40
2018 May,VAILRESORTSRETAIL,B&M,TENT,26
2018 May,VAILRESORTSRETAIL,OUTLET,DAYPACK,0
2018 May,VAILRESORTSRETAIL,OUTLET,JACKET/VEST,0
2018 May,VAILRESORTSRETAIL,OUTLET,PANT/CAPRI,9
2018 May,VON MAUR,B&M,DAYPACK,-2
2018 May,VON MAUR,B&M,JACKET/VEST,369
2018 May,VON MAUR,B&M,PANT/CAPRI,960
2018 May,VON MAUR,ECOMMERCE,DAYPACK,0
2018 May,VON MAUR,ECOMMERCE,JACKET/VEST,33
2018 May,VON MAUR,ECOMMERCE,PANT/CAPRI,66
2018 May,ZAPPOS.COM,AMAZON,DAYPACK,2210
2018 May,ZAPPOS.COM,AMAZON,PANT/CAPRI,1140
2018 May,ZAPPOS.COM,ECOMMERCE,DAYPACK,1236
2018 May,ZAPPOS.COM,ECOMMERCE,JACKET/VEST,297
2018 May,ZAPPOS.COM,ECOMMERCE,PANT/CAPRI,5049
2018 May,ZAPPOS.COM,ECOMMERCE,SLEEPING BAG,14
2018 May,ZAPPOS.COM,ECOMMERCE,TENT,0
2018 Jun,AAFES,B&M,DAYPACK,0
2018 Jun,AAFES,B&M,JACKET/VEST,24
2018 Jun,AAFES,B&M,PANT/CAPRI,4011
2018 Jun,AAFES,ECOMMERCE,PANT/CAPRI,-6
2018 Jun,AAFES,ECOMMERCE,SLEEPING BAG,0
2018 Jun,AAFES,OTHER,PANT/CAPRI,-9
2018 Jun,ACADEMY SPORTS,B&M,DAYPACK,3120
2018 Jun,ACADEMY SPORTS,B&M,JACKET/VEST,0
2018 Jun,ACADEMY SPORTS,B&M,PANT/CAPRI,5673
2018 Jun,ACADEMY SPORTS,B&M,SLEEPING BAG,276
2018 Jun,ACADEMY SPORTS,B&M,TENT,46
2018 Jun,ACADEMY SPORTS,ECOMMERCE,DAYPACK,210
2018 Jun,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,315
2018 Jun,ACADEMY SPORTS,ECOMMERCE,SLEEPING BAG,2
2018 Jun,ACADEMY SPORTS,ECOMMERCE,TENT,6
2018 Jun,BACKCOUNTRY,AMAZON,DAYPACK,1760
2018 Jun,BACKCOUNTRY,AMAZON,PANT/CAPRI,558
2018 Jun,BACKCOUNTRY,ECOMMERCE,DAYPACK,3660
2018 Jun,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,249
